ProductPricingID,ItemID,ItemNumber,PriceStore,PriceCustomerLevel,PriceVariant,PriceVariantInventory,PriceStartDate,PriceEndDate,PriceQuantity,Cost,Price,PriceVariantSurcharge,PriceCalculation,DeletePricing
9251,248,PT-2662,,,,,,,5000,0,0.19,,,
9252,248,PT-2662,,,,,,,10000,0,0.185,,,
9253,249,PT-1753,,,,,,,100,0,0.23,,,
9254,249,PT-1753,,,,,,,300,0,0.225,,,
9255,249,PT-1753,,,,,,,500,0,0.22,,,
9256,249,PT-1753,,,,,,,1000,0,0.215,,,
9257,249,PT-1753,,,,,,,2500,0,0.21,,,
9258,249,PT-1753,,,,,,,5000,0,0.205,,,
9259,249,PT-1753,,,,,,,10000,0,0.2,,,
9260,250,PT-1692,,,,,,,100,0,0.245,,,
9261,250,PT-1692,,,,,,,300,0,0.24,,,
9262,250,PT-1692,,,,,,,500,0,0.235,,,
9263,250,PT-1692,,,,,,,1000,0,0.23,,,
9264,250,PT-1692,,,,,,,2500,0,0.225,,,
9265,250,PT-1692,,,,,,,5000,0,0.22,,,
9266,250,PT-1692,,,,,,,10000,0,0.215,,,
9267,251,PT-1715,,,,,,,100,0,0.23,,,
9268,251,PT-1715,,,,,,,300,0,0.225,,,
9269,251,PT-1715,,,,,,,500,0,0.22,,,
9270,251,PT-1715,,,,,,,1000,0,0.215,,,
9271,251,PT-1715,,,,,,,2500,0,0.21,,,
9272,251,PT-1715,,,,,,,5000,0,0.205,,,
9273,251,PT-1715,,,,,,,10000,0,0.2,,,
9274,252,PT-2429,,,,,,,100,0,0.245,,,
9275,252,PT-2429,,,,,,,300,0,0.24,,,
9276,252,PT-2429,,,,,,,500,0,0.235,,,
9277,252,PT-2429,,,,,,,1000,0,0.23,,,
9278,252,PT-2429,,,,,,,2500,0,0.225,,,
9279,252,PT-2429,,,,,,,5000,0,0.22,,,
9280,252,PT-2429,,,,,,,10000,0,0.215,,,
9281,253,PT-654,,,,,,,100,0,0.245,,,
9282,253,PT-654,,,,,,,300,0,0.24,,,
9283,253,PT-654,,,,,,,500,0,0.235,,,
