link	title	description	image_link	additional_image_link	product_type	price	id	condition	expiration_date	shipping_weight	brand	mpn	gtin	availability	google_product_category	gender	age_group	color	size	material	pattern	item_group_id	adwords_grouping	adwords_labels	excluded_destination
http://www.havacupathome.com/store/p/60-Starbucks.aspx?feed=Froogle	Starbucks	Starbucks Coffee available in House Blend (Regular & Decaf)and Breakfast Blend each in boxes with 18 Qty 2.5 oz packs Starbucks Coffee available in House Blend (Regular & Decaf)  and Breakfast Blend.	http://www.havacupathome.com/resize/images/Starbucks.jpg?lr=t&bw=500&bh=500		Premium Coffee	48.0000	60	new	2014-09-12	3.0000 lb	Starbucks 			in stock											
http://www.havacupathome.com/store/p/61-Variety-Pack.aspx?feed=Froogle	Variety Pack	Swiss Mocha Almond, Hazelnut, Vanilla, Chocolate Raspberry Cream 6 of each flavor.  24 Qty 2.25 oz packs Swiss Mocha Almond, Hazelnut, Vanilla, Chocolate Raspberry Cream 6 of each flavor	http://www.havacupathome.com/resize/images/cappuccino.jpg?lr=t&bw=500&bh=500		Premium Coffee	28.5000	61	new	2014-09-12	3.5000 lb	Coffee			in stock											
http://www.havacupathome.com/store/p/62-Hazelnut-Decaf.aspx?feed=Froogle	Hazelnut Decaf	Hazelnut Decaf 24 Qty 2.25 oz packs Hazelnut Decaf 24 Qty 2.25 oz packs	http://www.havacupathome.com/resize/images/hazelnuts.jpg?lr=t&bw=500&bh=500		Premium Coffee	29.0000	62	new	2014-09-12	3.5000 lb	Coffee			in stock											
http://www.havacupathome.com/store/p/64-Hazelnut-WHOLE-BEAN.aspx?feed=Froogle	Hazelnut WHOLE BEAN	Hazelnut coffee in whole bean for greatest feshness. 5lbs Hazelnut coffee in whole bean for greatest feshness and araoma	http://www.havacupathome.com/resize/images/hazelnuts.jpg?lr=t&bw=500&bh=500		Premium Coffee	42.5000	64	new	2014-09-12	5.2500 lb	Coffee			in stock											
http://www.havacupathome.com/store/p/65-Flavored-Coffee-s.aspx?feed=Froogle	Flavored Coffee's	Choose from Hazelnut,Vanilla Cream, Chocolate Raspberry Cream, Swiss Moca Almond 24 Qty 2.25oz packs Choose from Hazelnut,Vanilla Cream, Chocolate Raspberry Cream, Swiss Moca Almond 	http://www.havacupathome.com/resize/images/cappuccino.jpg?lr=t&bw=500&bh=500		Premium Coffee	28.5000	65	new	2014-09-12	3.5000 lb	Coffee			in stock											
http://www.havacupathome.com/store/p/66-Velvet-Hammer-Blend-Fair-Trade-Organic.aspx?feed=Froogle	Velvet Hammer Blend   Fair Trade   Organic	The Coffee Lovers coffee. 36 Qty 2.25oz packs. Intense in every category. Sharp acidity and smooth, smokey flavor. The Coffee Lovers coffee	http://www.havacupathome.com/resize/images/velvet hammer small.jpg?lr=t&bw=500&bh=500		Fair Trade Organic	54.0000	66	new	2014-09-12	5.0000 lb	Coffee			in stock											
http://www.havacupathome.com/store/p/67-Velvet-Hammer-Blend-Fair-Trade-Organic.aspx?feed=Froogle	Velvet Hammer Blend Fair Trade Organic	The Coffee Lovers coffee. Whole Bean 1lb or 5lb bag. Intense in every category. Sharp acidity and smooth, smokey flavor. The Coffee Lovers coffee	http://www.havacupathome.com/resize/images/velvet hammer small.jpg?lr=t&bw=500&bh=500		Fair Trade Organic	9.0000	67	new	2014-09-12	1.2500 lb	Velvet Hammer			in stock											
http://www.havacupathome.com/store/p/68-Peruvian-French-Roast-Fair-Trade-Organic.aspx?feed=Froogle	Peruvian French Roast   Fair Trade   Organic	Certified organic and roasted to a medium dark color, rich and flavorful 4 lb bag One of South Americas most intriguing coffees, certified organic and roasted to a medium dark color, rich and flavorful	http://www.havacupathome.com/resize/images/Hav-A-Cup logo small.jpg?lr=t&bw=500&bh=500		Fair Trade Organic	48.0000	68	new	2014-09-12	4.2500 lb	Coffee			in stock											
http://www.havacupathome.com/store/p/69-Costa-Rican-Tarrazu.aspx?feed=Froogle	Costa Rican Tarrazu	A light roast and smooth coffee with chocolaty undertones, Organic 1 lb. Also availible in 5lb bag. This light roast coffee is very smooth with a well balanced acidity and subtle chocolaty undertones, great with breakfast!	http://www.havacupathome.com/resize/images/havacup header small.JPG?lr=t&bw=500&bh=500		Premium Coffee	9.0000	69	new	2014-09-12	1 lb	Hav-A-Cup Coffee			in stock											
http://www.havacupathome.com/store/p/74-Flavored-Variety-Sampler.aspx?feed=Froogle	Flavored Variety Sampler 	A collection of rich flavors to match the different moods and moments of your day. 22 Qty Caramel Vanilla Cream Sweet and buttery, but no sugar or sweeteners! (6 K-Cups) French Vanilla Elegantly fragrant with the rich and luscious flavor of vanilla. (6 K-Cups) Hazelnut Dark Roast Extra Bold Sweet, buttery aroma with the warm flavors of roasted nuts. (6 K-Cups) Fair Trade Wild Mountain Blueberry Blueberry! A Fair Trade Certified coffee. (4 K-Cups)	http://www.havacupathome.com/resize/images/K-cups/K-Cup-Flavored-Sampler-Lg.jpg?lr=t&bw=500&bh=500		K-Cups  > Variety Boxes	15.5000	74	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/75-Regular-Variety-Box.aspx?feed=Froogle	Regular Variety Box	An assortment of Signature favorites 22 Qty Colombian Fair Trade Select Classically balanced, vibrant, and complex with a splash of ripe fruit. (6 K-Cups) Vermont Country Blend Smooth and rich. A blend of light and dark roasts. (6 K-Cups) Dark Magic Extra Bold Sweet, toasty, rich. A dark roast. (6 K-Cups) French Roast Our darkest roastsmoky and sweet. (4 K-Cups)	http://www.havacupathome.com/resize/images/K-cups/K-Cup-Regular-Sampler-Lg.jpg?lr=t&bw=500&bh=500		K-Cups  > Variety Boxes	15.5000	75	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
