ItemID,ItemNumber,ItemName,Variation1Group,Variation1Description,Variation1Surcharge,Variation1SurchargeType,Variation1ItemNumberExtension,Variation2Group,Variation2Description,Variation2Surcharge,Variation2SurchargeType,Variation2ItemNumberExtension,Variation3Group,Variation3Description,Variation3Surcharge,Variation3SurchargeType,Variation3ItemNumberExtension
268,PT-2376,PT-2376,,,,,,,,,,,,,,,
269,PT-1907,PT-1907,,,,,,,,,,,,,,,
270,PT-1751,PT-1751,,,,,,,,,,,,,,,
271,PT-1896,PT-1896,,,,,,,,,,,,,,,
272,PT-2609,PT-2609,,,,,,,,,,,,,,,
273,PT-1685,PT-1685,,,,,,,,,,,,,,,
274,PT-1879,PT-1879,,,,,,,,,,,,,,,
275,PT-1956,PT-1956,,,,,,,,,,,,,,,
276,PT-2061,PT-2061,,,,,,,,,,,,,,,
277,PT-2500,PT-2500,,,,,,,,,,,,,,,
278,PT-846,PT-846,,,,,,,,,,,,,,,
279,PT-1568,PT-1568,,,,,,,,,,,,,,,
280,PT-1214,PT-1214,,,,,,,,,,,,,,,
281,PT-1527,PT-1527,,,,,,,,,,,,,,,
282,PT-1200,PT-1200,,,,,,,,,,,,,,,
283,PT-2350,PT-2350,,,,,,,,,,,,,,,
284,PT-1690,PT-1690,,,,,,,,,,,,,,,
285,PT-2629,PT-2629,,,,,,,,,,,,,,,
286,PT-2762,PT-2762,,,,,,,,,,,,,,,
287,PT-644,PT-644,,,,,,,,,,,,,,,
288,PT-821,PT-821,,,,,,,,,,,,,,,
289,PT-1236,PT-1236,,,,,,,,,,,,,,,
290,PT-1155,PT-1155,,,,,,,,,,,,,,,
291,PT-1225,PT-1225,,,,,,,,,,,,,,,
292,PT-2661,PT-2661,,,,,,,,,,,,,,,
293,PT-577,PT-577,,,,,,,,,,,,,,,
294,PT-1701,PT-1701,,,,,,,,,,,,,,,
295,PT-2303,PT-2303,,,,,,,,,,,,,,,
296,PT-2147,PT-2147,,,,,,,,,,,,,,,
297,PT-763,PT-763,,,,,,,,,,,,,,,
298,PT-1408,PT-1408,,,,,,,,,,,,,,,
299,PT-1437,PT-1437,,,,,,,,,,,,,,,
300,PT-1770,PT-1770,,,,,,,,,,,,,,,
301,PT-2215,PT-2215,,,,,,,,,,,,,,,
302,PT-1728,PT-1728,,,,,,,,,,,,,,,
303,PT-1272,PT-1272,,,,,,,,,,,,,,,
304,PT-2209,PT-2209,,,,,,,,,,,,,,,
305,PT-1741,PT-1741,,,,,,,,,,,,,,,
306,PT-903,PT-903,,,,,,,,,,,,,,,
307,PT-904,PT-904,,,,,,,,,,,,,,,
308,PT-902,PT-902,,,,,,,,,,,,,,,
309,PT-1038,PT-1038,,,,,,,,,,,,,,,
310,PT-394,PT-394,,,,,,,,,,,,,,,
311,PT-984,PT-984,,,,,,,,,,,,,,,
312,PT-390,PT-390,,,,,,,,,,,,,,,
313,PT-2478,PT-2478,,,,,,,,,,,,,,,
314,PT-687,PT-687,,,,,,,,,,,,,,,
315,PT-2579,PT-2579,,,,,,,,,,,,,,,
316,PT-1650,PT-1650,,,,,,,,,,,,,,,
317,PT-1869-A,PT-1869-A,,,,,,,,,,,,,,,
318,PT-1869-B,PT-1869-B,,,,,,,,,,,,,,,
319,PT-1869-C,PT-1869-C,,,,,,,,,,,,,,,
